var1,var2,value
build_p_road_100,parcel_Grass_P,0.23149577902652738
build_p_shrub_100,build_Mean_distall_road,0.22958047244000568
build_Mean_distall_road,build_p_shrub_100,0.22958047244000568
parcel_Build_P,parcel_Paved_P,0.22889275898787223
parcel_Paved_P,parcel_Build_P,0.22889275898787223
build_p_shrub_300,build_p_soil_10,0.2283313669516854
build_p_soil_10,build_p_shrub_300,0.2283313669516854
parcel_Grass_P,build_p_road_200,0.22825467499222546
build_p_road_200,parcel_Grass_P,0.22825467499222546
ID_Build,build_p_otherpaved_200,0.2275754874743171
build_p_otherpaved_200,ID_Build,0.2275754874743171
build_p_grass_300,build_p_otherpaved_200,0.22732711568739186
build_p_otherpaved_200,build_p_grass_300,0.22732711568739186
build_p_shrub_200,build_p_soil_10,0.22693676865184467
build_p_soil_10,build_p_shrub_200,0.22693676865184467
build_p_shrub_300,build_Mean_distall_road,0.22633027828421942
build_Mean_distall_road,build_p_shrub_300,0.22633027828421942
build_p_building_100,build_p_grass_10,0.2254881293495742
build_p_grass_10,build_p_building_100,0.2254881293495742
build_near_build,build_p_soil_300,0.22416757056570327
build_p_soil_300,build_near_build,0.22416757056570327
build_p_soil_300,build_Mean_distall_road,0.22279010155066073
build_Mean_distall_road,build_p_soil_300,0.22279010155066073
build_near_build,build_Mean_slope_30m_DEM,0.22197489353185756
build_Mean_slope_30m_DEM,build_near_build,0.22197489353185756
ID_Build,build_p_road_100,0.2190131684419989
build_p_road_100,ID_Build,0.2190131684419989
build_area,parcel_Paved_P,0.21863956428770218
parcel_Paved_P,build_area,0.21863956428770218
build_min_dist_shrub,build_p_otherpaved_300,0.21836667974720556
build_p_otherpaved_300,build_min_dist_shrub,0.21836667974720556
build_p_water_200,build_Mean_distroad,0.21810241467747418
build_Mean_distroad,build_p_water_200,0.21810241467747418
build_p_building_100,build_p_road_100,0.2174089327929275
build_p_road_100,build_p_building_100,0.2174089327929275
ID_Build,build_p_road_200,0.21302524151497637
build_p_road_200,ID_Build,0.21302524151497637
build_p_otherpaved_300,build_p_road_300,0.21276819400025937
build_p_road_300,build_p_otherpaved_300,0.21276819400025937
build_near_dest,build_p_building_300,0.21228363168852812
build_p_building_300,build_near_dest,0.21228363168852812
build_near_dest,build_p_building_200,0.21175961057920695
build_p_building_200,build_near_dest,0.21175961057920695
