"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"build_p_shrub_200",57,11134,2.80471488649172,5.68195970684772,0.0688314271488075,1.40922998375743,0.102049473890822,0,66.5683971685602,66.5683971685602,3.45880302794424,16.5357895329866,0.0538483674568273
"build_p_shrub_300",58,11134,4.2614760062499,6.97800285389261,0.908787772828908,2.6624589265629,1.34736875199614,0,64.2808042921904,64.2808042921904,2.55188324995541,8.41550319538197,0.0661310676558216
"parcel_AIN*",59,11134,3395.5614334471,1813.63612329963,3482,3418.94813650651,2296.5474,1,6405,6404,-0.0601083397316491,-1.17179518618187,17.1879684895892
"parcel_UseType*",60,11109,7.64974345125574,1.29478301999004,8,7.99820002249972,0,1,8,7,-4.05419280705637,15.5280979391501,0.0122845573450267
"parcel_UseDescription*",61,11109,28.8241965973535,7.77971180265194,32,30.8051524355946,0,1,43,42,-2.06158752545831,3.11517891316906,0.0738118389660328
"parcel_Roll_ImpValue",62,10764,2104334.65496098,8473118.3570242,318311,454360.323618207,325485.5562,0,63350373,63350373,5.83476997402447,34.9045690251421,81668.8477697392
"parcel_Roll_HomeOwnersExemp",63,10764,2885.45150501672,3444.72771082652,0,2731.88574082675,0,0,7000,7000,0.356288419693785,-1.8728276295947,33.202291195481
"parcel_Can_P",64,11134,30.0435871729993,17.7128508576436,27.8665310693735,28.5319165838172,17.2902897073719,0,100,100,0.81135773691729,0.622634057530629,0.167866044622047
"parcel_Grass_P",65,11134,16.2326165837402,11.0831785106256,14.2341413323557,15.2841919520007,10.9236987191129,0,63.7218045112782,63.7218045112782,0.756187368699546,0.264496937174157,0.105036131866708
"parcel_Soil_P",66,11134,21.1258402266373,17.433959232692,15.8348685465436,19.1071817860967,16.4150381097561,0,96.5872504829363,96.5872504829363,0.936195442530023,0.266775867171853,0.165222967325506
"parcel_Water_P",67,11134,0.599659311399586,3.79239968119085,0,0,0,0,87.0889170841939,87.0889170841939,7.87646279608866,76.2075245934554,0.0359408623277998
"parcel_Build_P",68,11134,16.6414522357072,14.1466120914934,12.8150259815242,15.1328401293751,13.8195332651836,0,100,100,1.32344329343507,3.31181375986058,0.134068526613075
"parcel_Road_P",69,11134,1.90812976084496,3.24495934540198,0,1.17237898065324,0,0,32.2132943754565,32.2132943754565,2.43659378406182,7.8171431457774,0.0307527283241882
"parcel_Paved_P",70,11134,8.86175372845779,9.24007783653034,6.3449521671002,7.32251934665969,7.35375536111661,0,69.3340954558445,69.3340954558445,1.81876732879568,4.66074484294351,0.0875689255718452
"parcel_Shrub_P",71,11134,4.58696098021374,9.71746852400937,0,1.99473969449997,0,0,74.8109247000739,74.8109247000739,2.67700662846084,7.52948535454574,0.0920931936916732
"parcel_Perv_P",72,11134,72.5886642749901,18.6677400774328,74.6410168327035,73.980374017185,21.1222337894233,0,100,100,-0.635736616198234,-0.0066588063883195,0.176915602915429
"parcel_Imperv_P",73,11134,27.4113357250099,18.6677400774328,25.3589831672965,26.019625982815,21.1222337894233,0,100,100,0.635736616198234,-0.0066588063883195,0.176915602915429
"parcel_EffectiveYear1",74,10126,1965.06666008295,171.647165524333,1981,1980.42063687978,16.3086,0,2015,2015,-11.259015947591,125.925890985324,1.70575901265599
"parcel_EffectiveYear2",75,996,1970.97690763052,15.6315770117694,1971,1971.07268170426,19.2738,1926,2015,89,-0.0852196932933444,-0.447402691090311,0.49530547131496
"parcel_EffectiveYear3",76,606,1794.10891089109,567.53225824782,1968,1970.74691358025,28.1694,0,2013,2013,-2.8379068190476,6.07356650761006,23.0544220592977
"parcel_EffectiveYear4",77,526,1972.94866920152,17.8055964486526,1971,1974.54265402844,23.7216,1924,2013,89,-0.592508850233082,0.338209238170024,0.77636089870777
"parcel_EffectiveYear5",78,504,1682.95833333333,704.481395094148,1974,1853.00247524752,19.2738,0,2013,2013,-1.96644800460847,1.87289223699223,31.3800954261766
"parcel_recent",79,10126,1966.6351965238,166.009983461789,1981,1980.97716613182,14.826,0,2015,2015,-11.6546423510977,135.095825369156,1.64973901325901
