polygon_id,a_tree,a_grass,a_soil,a_water,a_building,a_road,a_otherpaved,a_shrub,a_total,p_tree,p_grass,p_soil,p_water,p_building,p_road,p_otherpaved,p_shrub,Impervious Surface (%)
59,13661.4375,8649,15179.0625,0,3966.75,0,1947.375,0,43403.625,31.47533760141002,19.92690702677484,34.97187734895415,0,9.139213602550477,0,4.4866644203105155,0,13.625878022860993
60,34404.1875,7565.625,11401.3125,0,1351.6875,0,322.875,0,55045.6875,62.50114961321902,13.744264707385115,20.712453632266833,0,2.4555738358250134,0,0.5865582113040191,0,3.0421320471290323
61,16650,9558,4167,0,694.125,7269.1875,4302,0,42640.3125,39.04755622980014,22.41540795462041,9.772442451025658,0,1.6278609590396411,17.04768814721984,10.089044258294308,0,28.764593364553786
62,24068.8125,8391.9375,2018.25,0,1160.4375,0,4323.375,0,39962.8125,60.22802449151946,20.99936659863467,5.05032021957914,0,2.903793370399043,0,10.81849531986769,0,13.722288690266732
63,12580.3125,19626.1875,6522.75,0,9968.0625,0,26011.125,83.25,74791.6875,16.820468852237088,26.24113475177305,8.721223197430865,0,13.327767875273572,0,34.77809616209021,0.11130916119521973,48.159469939389375
64,20919.375,5973.1875,10434.375,0,2888.4375,0,322.3125,0,40537.6875,51.604756684751685,14.7348994685501,25.739936448027528,0,7.125313943968807,0,0.7950934547018746,0,7.920407398670681
65,16744.5,8043.1875,2536.875,0,802.6875,6242.0625,7830,0,42199.3125,39.67955639087722,19.05999653430373,6.011650071313365,0,1.902134069127311,14.791858279681689,18.554804654696685,0,35.248797003505686
66,25961.625,5096.8125,20088.5625,0,541.6875,4425.75,293.625,0,56408.0625,46.02467067540212,9.035609936079616,35.6129276732382,0,0.9603015526370897,7.845952872428476,0.5205372902144972,0,9.326791715280063
67,20843.4375,12408.75,1915.3125,0,967.5,0,4862.8125,0,40997.8125,50.84036495849627,30.266858750085753,4.671743157028195,0,2.359882005899705,0,11.861151128490087,0,14.221033134389794
68,7653.375,13253.625,5828.625,0,11310.75,0,17093.8125,10.6875,55150.875,13.877159700548722,24.03157701487057,10.568508659200782,0,20.508740795136976,0,30.99463517124615,0.01937865899679742,51.51335856447713
69,14505.75,4078.125,17739.5625,0,2953.125,0,322.875,0,39599.4375,36.63120214775778,10.29844173922925,44.79751132828591,0,7.45749229392463,0,0.8153524908024262,0,8.272844784727056
70,18041.0625,14370.75,1606.5,0,930.375,0,6840.5625,0,41789.25,43.17153933128735,34.38862865449847,3.8442900985301245,0,2.226350078070317,0,16.36919183761374,0,18.59554191568406
71,18756,6879.9375,8514,179.4375,0,0,1711.6875,0,36041.0625,52.040641143695474,19.089163922401013,23.623054952944297,0.497869617467576,0,0,4.749270363491642,0,4.773033848856542
72,4754.8125,4675.5,3200.0625,0,10937.8125,0,20806.3125,0,44374.5,10.71519115708346,10.536456748808437,7.211489706926274,0,24.648869283034173,0,46.887993104147654,0,71.53686238718183
73,19069.875,19721.8125,6749.4375,0,17.4375,0,338.625,0,45897.1875,41.54911452907653,42.96954470249403,14.705557938599178,0,0.03799252405171886,0,0.7377903057785403,0,0.7757828298302593
74,5848.3125,1944.5625,22047.75,0,9.5625,0,7391.8125,0,37242,15.703540357660707,5.221423392943451,59.201304978250356,0,0.02567665538907685,0,19.848054615756404,0,19.87373127114548
75,14263.3125,20440.6875,4767.1875,0,8300.8125,0,19075.5,168.75,67016.25,21.283364109451067,30.501091153265065,7.113479939566895,0,12.386268255833473,0,28.463991942252814,0.2518045996306866,40.953382699427806
76,12361.5,3690.5625,1227.375,0,1797.75,2148.1875,18918.5625,0,40143.9375,30.792943517311922,9.193324645844719,3.057435509409111,0,4.478260260344417,5.351212745386523,47.12682332170331,0,56.95629632743425
77,13579.875,13592.8125,14541.75,0,3646.6875,0,2291.0625,5106.9375,52759.125,25.73938631468964,25.76390813911338,27.562530652280532,0,6.911955988655991,0,4.342495255560057,9.679723649700406,12.460603198961223
78,21715.3125,8307,21741.75,0,47.25,0,487.125,0,52298.4375,41.52191449314332,15.883839741866094,41.57246571659048,0,0.0903468674374832,0,0.9314331809626243,0,1.0217800484001076
79,28264.5,6699.375,2390.625,0,5429.8125,0,10026,0,52810.3125,53.52079671939074,12.685732545135005,4.526814720136337,0,10.281727645523778,0,18.98492836981413,0,29.26665601533791
80,8073.5625,17708.625,14459.625,0,466.875,0,4098.375,0,44807.0625,18.01850433734637,39.52195036217784,32.270861317900504,0,1.0419674353791883,0,9.146716547196103,0,10.188683982575292
81,3958.875,12350.8125,10899,0,3611.8125,9834.1875,3561.75,0,44216.4375,8.953401096594451,27.932626865291894,24.64920426933988,0,8.168483722823668,22.24102179195237,8.055262253997736,0,38.464767768773775
82,7269.1875,15780.375,24221.8125,0,3718.6875,1746.5625,2902.5,0,55639.125,13.064884647269345,28.362011444284935,43.5337768162242,0,6.683583719190408,3.1390905230806556,5.216652849950462,0,15.039327092221525
83,13910.625,9010.125,14817.375,0,6426.5625,0,6112.125,4479.1875,54756,25.40475016436555,16.455046022353713,27.06073307034845,0,11.73672748191979,0,11.162475345167651,8.180267915844839,24.939304773945246
84,18362.8125,17639.4375,2671.875,0,198.5625,0,482.625,0,39355.3125,46.6590438076181,44.82098191953119,6.789108840134353,0,0.504537983277353,0,1.2263274494390053,0,1.730865432716358
85,13133.25,10329.75,13924.125,0,570.375,0,5937.75,0,43895.25,29.919524322107744,23.532728484289304,31.721256855810136,0,1.2994002767953252,0,13.527090060997487,0,14.826490337792814
86,6231.9375,7839,7836.75,0,7462.125,0,10767.375,2246.0625,42383.25,14.703774486383182,18.49551414768806,18.490205446727188,0,17.60630673674152,0,25.404788448266707,5.299410734193343,45.41798051993553
87,7353.5625,14537.25,23586.75,0,3499.3125,2680.875,4615.3125,0,56273.0625,13.067642266670665,25.833408302595934,41.91481492588039,0,6.218450435321518,4.764046740836257,8.201637328695236,0,19.18413450485301
88,9445.5,19115.4375,2235.9375,0,4893.75,0,4808.8125,0,40499.4375,23.322546146474256,47.19926665648134,5.520910012639065,0,12.08350115973833,0,11.87377602466701,0,23.95727718440534
89,5879.25,6708.375,25500.9375,0,3710.25,0,2087.4375,0,43886.25,13.396564983337605,15.285824147654449,58.10689566777749,0,8.454242501922584,0,4.75647269930787,0,13.210715201230453
90,32406.75,3801.375,2310.75,0,2517.75,6626.8125,1971.5625,0,49635,65.29011786038078,7.6586582048957395,4.655485040797824,0,5.072529465095195,13.351087941976427,3.972121486854034,0,22.395738893925657
91,17606.25,6821.4375,14410.6875,0,1022.625,0,0,0,39861,44.16911266651614,17.113061639196207,36.1523481598555,0,2.565477534432152,0,0,0,2.565477534432152
92,23223.375,11457.5625,10484.4375,0,1269,0,4.5,0,46438.875,50.00847888756995,24.672351558904044,22.57685505947334,0,2.7326243368298653,0,0.00969015722280094,0,2.742314494052666
93,7696.6875,6139.125,28046.25,0,2119.5,0,1440.5625,0,45442.125,16.93734062832669,13.509766543708068,61.71861461144258,0,4.6641744856782115,0,3.1701037308444535,0,7.834278216522665
94,17154,9343.6875,14507.4375,0,1018.125,0,0,0,42023.25,40.82026021309632,22.23456657921508,34.52240723884992,0,2.4227659688386787,0,0,0,2.4227659688386787
95,8217,13435.875,17988.1875,0,897.75,11955.375,5787.5625,0,58281.75,14.098753040188395,23.05331428792032,30.864185615565766,0,1.5403621202177353,20.513067984403353,9.930316951704436,0,31.983747056325523
96,8011.125,12863.8125,14229,0,7160.625,0,14076.5625,4384.6875,60725.8125,13.192289522680326,21.18343414507628,23.43155145104069,0,11.791731893253795,0,23.180525579628927,7.220467408319979,37.69393582396518
97,13483.6875,7863.75,13186.6875,0,2676.375,5661.5625,3058.875,0,45930.9375,29.356438674912745,17.120813177392687,28.70981568795542,0,5.826954871104036,12.32625068887392,6.65972689976119,0,24.812932459739145
98,17884.125,7844.0625,13693.5,0,2959.3125,6306.1875,5910.1875,0,54597.375,32.75638251839031,14.367105561393748,25.08087614102326,0,5.420246852527251,11.550349261296903,10.825039665368527,0,27.79563577919268
