OBJECTID,IN_FID,Near_exp_dist,Near_exp_rank
6209,3105,0.000000,1
6210,3105,16.337548,2
6211,3106,104.484630,1
6212,3106,161.371786,2
6213,3107,410.760884,1
6214,3107,501.255302,2
6215,3108,1955.736544,1
6216,3108,2212.020479,2
6217,3109,142.652600,1
6218,3109,625.732439,2
6219,3110,476.031396,1
6220,3110,568.027569,2
6221,3111,585.929066,1
6222,3111,850.241706,2
6223,3112,460.640582,1
6224,3112,552.881833,2
6225,3113,297.862640,1
6226,3113,353.907511,2
6227,3114,954.383725,1
6228,3114,954.383725,1
6229,3115,951.419500,1
6230,3115,951.419500,1
6231,3116,568.791479,1
6232,3116,833.965306,2
6233,3117,668.085885,1
6234,3117,910.716101,2
6235,3118,160.275638,1
6236,3118,676.331767,2
6237,3119,925.117121,1
6238,3119,925.117121,1
6239,3120,811.229954,1
6240,3120,937.630852,2
6241,3121,558.472645,1
6242,3121,820.401290,2
6243,3122,521.045941,1
6244,3122,613.813855,2
6245,3123,185.109566,1
6246,3123,221.491734,2
6247,3124,2898.349200,1
6248,3124,2950.854523,2
6249,3125,285.178942,1
6250,3125,484.525216,2
6251,3126,603.693163,1
6252,3126,798.305917,2
6253,3127,170.488756,1
6254,3127,250.526106,2
6255,3128,945.057282,1
6256,3128,945.057282,1
6257,3129,528.285685,1
6258,3129,788.698472,2
6259,3130,253.838404,1
6260,3130,272.788917,2
6261,3131,443.655703,1
6262,3131,481.282292,2
6263,3132,567.720653,1
6264,3132,660.334826,2
6265,3133,604.573911,1
6266,3133,843.187238,2
6267,3134,0.000000,1
6268,3134,16.337548,2
6269,3135,706.052761,1
6270,3135,902.475392,2
6271,3136,23.440242,1
6272,3136,458.237384,2
6273,3137,92.579783,1
6274,3137,102.539091,2
6275,3138,173.755992,1
6276,3138,283.699363,2
6277,3139,217.271995,1
6278,3139,410.430297,2
6279,3140,260.324991,1
6280,3140,272.498957,2
6281,3141,638.185877,1
6282,3141,649.604317,2
6283,3142,0.000000,1
6284,3142,422.664487,2
6285,3143,129.727538,1
6286,3143,969.931299,2
6287,3144,177.953146,1
6288,3144,349.743584,2
6289,3145,0.000000,1
6290,3145,549.157459,2
6291,3146,780.263059,1
6292,3146,850.921851,2
6293,3147,263.947028,1
6294,3147,341.294830,2
6295,3148,262.083361,1
6296,3148,559.784512,2
6297,3149,1353.670317,1
6298,3149,1811.410642,2
6299,3150,469.275516,1
6300,3150,731.806747,2
6301,3151,282.603667,1
6302,3151,510.794270,2
6303,3152,529.642761,1
6304,3152,774.869867,2
6305,3153,249.310556,1
6306,3153,322.145372,2
6307,3154,118.794299,1
6308,3154,754.699646,2
6309,3155,361.380483,1
6310,3155,430.703977,2
6311,3156,340.257826,1
6312,3156,470.824437,2
6313,3157,177.634125,1
6314,3157,187.184037,2
6315,3158,286.781666,1
6316,3158,320.751843,2
6317,3159,40.757762,1
6318,3159,430.241592,2
6319,3160,492.593232,1
6320,3160,784.751555,2
6321,3161,238.417978,1
6322,3161,263.030887,2
6323,3162,641.898596,1
6324,3162,1439.125474,2
6325,3163,8.908472,1
6326,3163,15.464714,2
6327,3164,2082.740346,1
6328,3164,2316.226749,2
6329,3165,557.235381,1
6330,3165,604.703929,2
6331,3166,348.195897,1
6332,3166,400.288502,2
6333,3167,52.171468,1
6334,3167,396.224088,2
6335,3168,779.642445,1
6336,3168,779.642445,1
6337,3169,473.067349,1
6338,3169,714.612298,2
6339,3170,259.529776,1
6340,3170,1071.352452,2
6341,3171,123.544933,1
6342,3171,330.942127,2
6343,3172,630.610580,1
6344,3172,801.483715,2
6345,3173,602.612240,1
6346,3173,809.717436,2
6347,3174,155.913866,1
6348,3174,229.899691,2
6349,3175,379.073122,1
6350,3175,1136.861535,2
6351,3176,704.742262,1
6352,3176,754.390596,2
6353,3177,1422.925154,1
6354,3177,1711.582055,2
6355,3178,538.451396,1
6356,3178,1355.121503,2
6357,3179,670.059362,1
6358,3179,680.999482,2
6359,3180,1166.160291,1
6360,3180,1166.160291,1
6361,3181,1522.016926,1
6362,3181,1645.369687,2
6363,3182,12.580496,1
6364,3182,101.039610,2
6365,3183,2214.946069,1
6366,3183,2299.928083,2
6367,3184,0.000000,1
6368,3184,14.130957,2
6369,3185,362.883803,1
