OBJECTID,IN_FID,Near_exp_dist,Near_exp_rank,Near_dest,Near_dst_rank
13608,6804,1360.849142,2,40.82831689,2
13609,6805,973.6797691,1,0,1
13610,6805,1813.210001,2,27.68280061,2
13611,6806,485.3197167,1,0,1
13612,6806,525.330941,2,26.80229532,2
13613,6807,882.3735913,1,0,1
13614,6807,1732.889244,2,34.16835777,2
13615,6808,847.5812439,1,0,1
13616,6808,2858.498877,2,36.49743894,2
13617,6809,1157.203069,1,0,1
13618,6809,1946.599567,2,4.991198511,2
13619,6810,394.4828059,1,0,1
13620,6810,1318.219529,2,40.82831689,2
13621,6811,590.3954913,1,0,1
13622,6811,799.3082358,2,145.9551917,2
13623,6812,740.1533993,1,0,1
13624,6812,1594.733382,2,54.30238949,2
13625,6813,1194.80534,1,0,1
13626,6813,1956.915736,2,4.991198511,2
13627,6814,1565.074016,1,0,1
13628,6814,2277.407788,2,57.66863618,2
13629,6815,1406.163945,1,0,1
13630,6815,2109.43386,2,99.92443745,2
13631,6816,1234.170285,1,0,1
13632,6816,1959.656532,2,19.12367008,2
13633,6817,503.9688677,1,0,1
13634,6817,523.2258508,2,5.274856384,2
13635,6818,280.266941,1,0,1
13636,6818,319.170657,2,60.0100398,2
13637,6819,999.4825908,1,0,1
13638,6819,2759.680669,2,85.42210868,2
13639,6820,537.8417859,1,0,1
13640,6820,580.5173596,2,3.177946436,2
13641,6821,360.7745923,1,0,1
13642,6821,415.1028867,2,22.44298014,2
13643,6822,407.8877858,1,0,1
13644,6822,464.8818398,2,22.44298014,2
13645,6823,521.5538821,1,0,1
13646,6823,565.727302,2,3.177946436,2
13647,6824,1009.454096,1,0,1
13648,6824,1734.134214,2,42.17591231,2
13649,6825,1673.222719,1,0,1
13650,6825,2317.738606,2,57.66863618,2
13651,6826,675.3303422,1,0,1
13652,6826,1474.058785,2,87.33140606,2
13653,6827,463.1709504,1,0,1
13654,6827,497.8669292,2,5.274856384,2
13655,6828,1610.840641,1,0,1
13656,6828,2217.138286,2,21.81028692,2
13657,6829,701.072809,1,0,1
13658,6829,747.9943838,2,143.3100127,2
13659,6830,1084.905796,1,0,1
13660,6830,2686.406229,2,155.014979,2
13661,6831,899.9366744,1,0,1
13662,6831,1628.263484,2,42.17591231,2
13663,6832,1173.600253,1,0,1
13664,6832,1833.233448,2,71.88552465,2
13665,6833,487.4389424,1,0,1
13666,6833,1292.684784,2,29.47155001,2
13667,6834,355.5706972,1,0,1
13668,6834,404.5443796,2,27.66383567,2
13669,6835,294.1871785,1,0,1
13670,6835,1150.021135,2,10.10314652,2
13671,6836,554.3779456,1,0,1
13672,6836,936.1642933,2,46.49428098,2
13673,6837,289.8642273,1,0,1
13674,6837,1139.24521,2,10.10314652,2
13675,6838,1624.680041,1,0,1
13676,6838,2204.410031,2,21.81028692,2
13677,6839,458.7200687,1,0,1
13678,6839,976.4605321,2,16.36001656,2
13679,6840,1077.682848,1,0,1
13680,6840,1707.460862,2,74.77996944,2
13681,6841,555.6812003,1,0,1
13682,6841,1277.079212,2,25.25093182,2
13683,6842,514.635134,1,0,1
13684,6842,965.4714161,2,16.36001656,2
13685,6843,1201.539622,1,0,1
13686,6843,2581.670386,2,45.71050267,2
13687,6844,1182.238074,1,0,1
13688,6844,1190.911033,2,590.0133583,2
13689,6845,548.5955651,1,0,1
13690,6845,1208.496987,2,5.460459239,2
13691,6846,1262.796437,1,0,1
13692,6846,2580.121806,2,45.71050267,2
13693,6847,418.2777907,1,0,1
13694,6847,1065.27878,2,51.07979413,2
13695,6848,569.8576925,1,0,1
13696,6848,1182.448229,2,5.460459239,2
13697,6849,0,1,0,1
13698,6849,44.81530445,2,44.81530445,2
13699,6850,0,1,0,1
13700,6850,33.41376466,2,33.41376466,2
13701,6851,565.0824201,1,0,1
13702,6851,596.5317624,2,143.3100127,2
13703,6852,4292.32899,1,0,1
13704,6852,4466.391203,2,48.00467518,2
13705,6853,469.7535161,1,0,1
13706,6853,1099.742027,2,8.950138604,2
13707,6854,509.7764303,1,0,1
13708,6854,1042.996505,2,8.41831582,2
13709,6855,540.42662,1,0,1
13710,6855,1003.760257,2,8.41831582,2
13711,6856,168.0317373,1,0,1
13712,6856,205.3926982,2,19.3624444,2
13713,6857,0,1,0,1
13714,6857,33.41376466,2,33.41376466,2
13715,6858,523.7768545,1,0,1
13716,6858,946.856608,2,17.14937507,2
13717,6859,528.256802,1,0,1
13718,6859,919.4214278,2,24.27948997,2
13719,6860,66.07632161,1,0,1
13720,6860,66.25549829,2,66.07632161,2
13721,6861,284.0839395,1,0,1
13722,6861,304.7264664,2,19.3624444,2
13723,6862,1254.709732,1,0,1
13724,6862,2423.467134,2,73.49992356,2
13725,6863,4428.208423,1,0,1
13726,6863,4596.034937,2,48.00467518,2
13727,6864,567.0712674,1,0,1
13728,6864,887.4304019,2,7.916061091,2
13729,6865,591.9238682,1,0,1
13730,6865,868.577634,2,7.916061091,2
13731,6866,786.3789932,1,0,1
13732,6866,795.5216821,2,203.2118075,2
13733,6867,541.1109866,1,0,1
13734,6867,793.5967364,2,31.03849494,2
13735,6868,1628.43945,1,0,1
13736,6868,2040.87116,2,200.3142122,2
13737,6869,630.7331007,1,0,1
13738,6869,772.4799554,2,34.60370823,2
13739,6870,680.5130185,1,0,1
13740,6870,718.3840305,2,88.73132321,2
13741,6871,80.08752406,1,0,1
13742,6871,100.5467665,2,22.15302702,2
13743,6872,33.68974761,1,0,1
13744,6872,117.4844479,2,22.15302702,2
13745,6873,88.71760346,1,0,1
13746,6873,140.857844,2,88.71760346,2
13747,6874,343.7561022,1,0,1
13748,6874,378.0705244,2,13.62145887,2
13749,6875,1435.428916,1,0,1
13750,6875,2241.410593,2,73.49992356,2
13751,6876,0,1,0,1
13752,6876,38.67701929,2,38.67701929,2
13753,6877,20.32439804,1,0,1
13754,6877,86.91590657,2,20.32439804,2
13755,6878,406.529101,1,0,1
13756,6878,421.2069352,2,13.62145887,2
13757,6879,302.6949457,1,0,1
13758,6879,355.4390592,2,14.02500032,2
13759,6880,0,1,0,1
13760,6880,38.67701929,2,38.67701929,2
13761,6881,481.7422134,1,0,1
13762,6881,525.4320608,2,1.811348832,2
13763,6882,557.458918,1,0,1
13764,6882,620.6146547,2,68.02591997,2
13765,6883,470.6310893,1,0,1
13766,6883,514.0170697,2,1.811348832,2
13767,6884,23.46471394,1,0,1
13768,6884,54.09020536,2,23.46471394,2
13769,6885,0,1,0,1
13770,6885,52.8615477,2,20.32439804,2
13771,6886,431.1909893,1,0,1
13772,6886,479.0348231,2,2.594686333,2
13773,6887,562.7301119,1,0,1
13774,6887,809.4701256,2,169.6724075,2
13775,6888,1.636022557,1,0,1
13776,6888,112.1820541,2,1.636022557,2
13777,6889,0,1,0,1
13778,6889,59.91531737,2,1.636022557,2
13779,6890,70.32605949,1,0,1
13780,6890,163.0893024,2,70.32605949,2
13781,6891,0,1,0,1
13782,6891,59.91531737,2,20.48072552,2
13783,6892,481.6126325,1,0,1
13784,6892,580.2546062,2,68.02591997,2
13785,6893,20.48072552,1,0,1
13786,6893,53.39929723,2,20.48072552,2
13787,6894,31.98588819,1,0,1
13788,6894,106.2301577,2,31.98588819,2
13789,6895,604.0233228,1,0,1
13790,6895,930.1994482,2,49.77499016,2
13791,6896,0,1,0,1
13792,6896,42.77360469,2,16.78837798,2
13793,6897,413.0883908,1,0,1
13794,6897,875.7393694,2,167.5790426,2
13795,6898,0,1,0,1
13796,6898,42.77360469,2,26.95420502,2
13797,6899,1291.589581,1,0,1
13798,6899,6429.221669,2,511.0266462,2
13799,6900,16.78837798,1,0,1
13800,6900,26.95420502,2,16.78837798,2
13801,6901,82.71490729,1,0,1
13802,6901,117.3052216,2,36.83297918,2
13803,6902,493.8687562,1,0,1
13804,6902,988.1702841,2,49.77499016,2
13805,6903,4929.04033,1,0,1
13806,6903,5142.28663,2,49.29662006,2
13807,6904,0,1,0,1
13808,6904,129.1626135,2,66.91042916,2
13809,6905,4976.03062,1,0,1
13810,6905,5160.36142,2,40.02056618,2
13811,6906,71.78996636,1,0,1
13812,6906,6338.43213,2,71.19594936,2
13813,6907,491.542355,1,0,1
13814,6907,1133.990299,2,61.72227534,2
13815,6908,93.26566886,1,0,1
13816,6908,143.035816,2,93.26566886,2
13817,6909,192.3302355,1,0,1
13818,6909,245.2272065,2,114.4056847,2
13819,6910,5013.456773,1,0,1
13820,6910,5209.426655,2,26.34080062,2
13821,6911,225.5229226,1,0,1
13822,6911,908.3287945,2,5.382621269,2
13823,6912,2269.153681,1,0,1
13824,6912,2721.163838,2,17.76916734,2
13825,6913,521.0029303,1,0,1
13826,6913,609.9649315,2,17.34777869,2
13827,6914,205.4676762,1,0,1
13828,6914,926.8611819,2,5.382621269,2
13829,6915,5060.181874,1,0,1
