OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
637,319,108,142.0408003,1
638,319,101,204.494099,2
639,320,110,165.2177806,1
640,320,107,216.188284,2
641,321,97,0,1
642,321,96,21.81704334,2
643,322,98,0,1
644,322,100,15.57113378,2
645,323,107,118.4889373,1
646,323,101,133.3833643,2
647,324,107,81.15809215,1
648,324,115,244.0331075,2
649,325,99,0,1
650,325,98,36.2623443,2
651,326,100,0,1
652,326,98,15.57113378,2
653,327,101,23.1179442,1
654,327,108,205.4079206,2
655,328,101,0,1
656,328,108,253.8601862,2
657,329,110,278.9455026,1
658,329,119,347.7938253,2
659,330,101,71.39862218,1
660,330,107,167.2002762,2
661,331,104,146.2313127,1
662,331,106,153.8781339,2
663,332,104,5.512349158,1
664,332,106,57.23939759,2
665,333,99,39.38191718,1
666,333,98,56.11320531,2
667,334,92,95.44151692,1
668,334,83,363.1842019,2
669,335,92,196.9721296,1
670,335,83,416.1931287,2
671,336,102,0,1
672,336,103,27.86934279,2
673,337,108,56.88197128,1
674,337,101,201.9465999,2
675,338,109,125.0375531,1
676,338,105,131.2507339,2
677,339,101,112.7286245,1
678,339,107,131.5590915,2
679,340,110,220.8849926,1
680,340,119,281.3630963,2
681,341,103,0,1
682,341,102,27.86934279,2
683,342,104,12.75217324,1
684,342,106,25.77618333,2
685,343,107,110.7149412,1
686,343,115,119.8325586,2
687,344,104,0,1
688,344,106,11.12173941,2
689,345,105,0,1
690,345,109,17.508381,2
691,346,92,285.9678122,1
692,346,128,500.5103337,2
693,347,92,285.5619883,1
694,347,132,442.88764,2
695,348,110,139.2549486,1
696,348,119,213.0151254,2
697,349,122,293.8369788,1
698,349,135,554.6309725,2
699,350,106,0,1
700,350,104,11.12173941,2
701,351,92,262.266449,1
702,351,132,436.7669248,2
703,352,92,316.425006,1
704,352,132,430.1119387,2
705,353,107,0,1
706,353,115,127.5707541,2
707,354,92,314.0992492,1
708,354,132,418.4407455,2
709,355,108,0,1
710,355,101,253.8601862,2
711,356,101,124.4990873,1
712,356,115,137.1308019,2
713,357,110,13.15453841,1
714,357,118,135.1483422,2
715,358,107,39.98364228,1
716,358,115,232.9150714,2
717,359,119,243.2927745,1
718,359,110,264.5158668,2
719,360,106,13.20027075,1
720,360,114,30.27526391,2
721,361,110,122.948831,1
722,361,107,138.8811016,2
723,362,110,28.37855279,1
724,362,119,126.4966062,2
725,363,122,186.1585796,1
726,363,135,540.9532375,2
727,364,109,0,1
728,364,105,17.508381,2
729,365,110,142.6173033,1
730,365,119,145.6226809,2
731,366,108,83.46665491,1
732,366,101,146.933701,2
733,367,92,351.2761769,1
734,367,132,376.9806212,2
735,368,110,0,1
736,368,119,124.2645652,2
737,369,92,399.6933265,1
738,369,128,411.9780044,2
739,370,115,9.712809888,1
740,370,107,119.8430586,2
741,371,111,9.892247059,1
742,371,117,27.00006077,2
743,372,111,0,1
744,372,113,17.73115035,2
745,373,92,310.2580523,1
746,373,132,324.9777644,2
747,374,108,147.7262114,1
748,374,101,428.252767,2
749,375,92,272.0475036,1
750,375,132,342.7585594,2
751,376,122,271.973608,1
752,376,135,459.6299428,2
753,377,128,340.0809271,1
754,377,124,359.425781,2
755,378,108,84.2906744,1
756,378,101,364.0169391,2
757,379,132,320.9803464,1
758,379,92,329.2202731,2
759,380,114,17.04594079,1
760,380,106,86.47180856,2
761,381,122,368.7305199,1
762,381,135,403.1973105,2
763,382,112,0,1
764,382,109,20.81944933,2
765,383,134,358.7245865,1
766,383,132,395.1496937,2
767,384,113,0,1
768,384,111,17.73115035,2
769,385,132,320.9872771,1
770,385,134,367.3996511,2
771,386,114,0,1
772,386,121,17.0640253,2
773,387,115,0,1
774,387,86,62.82095801,2
775,388,116,0,1
776,388,120,35.09402523,2
777,389,117,0,1
778,389,113,20.35996769,2
779,390,118,0,1
780,390,123,31.13241129,2
