OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,Buildings_ParcelID_DINS_ID_Build
478,96,10,110.0906305,2,96
479,96,5,147.1530318,3,96
480,96,13,170.4871849,4,96
481,97,11,144.6186238,1,97
482,97,17,230.0234872,2,97
483,97,38,268.134692,3,97
484,97,18,271.6752209,4,97
485,97,25,299.7227491,5,97
486,98,7,0,1,98
487,98,6,82.52920371,2,98
488,98,12,112.8913154,3,98
489,98,23,180.7993517,4,98
490,98,24,180.7993517,4,98
491,99,19,115.4439007,1,99
492,99,14,290.4113015,2,99
493,99,15,290.4113015,2,99
494,99,12,311.164396,3,99
495,99,30,317.3745663,4,99
496,100,19,144.0037537,1,100
497,100,14,204.855575,2,100
498,100,15,204.855575,2,100
499,100,16,303.0846717,3,100
500,100,30,359.1152972,4,100
501,101,19,109.7682396,1,101
502,101,12,226.2310353,2,101
503,101,7,239.7281168,3,101
504,101,6,283.3472846,4,101
505,101,30,304.0483921,5,101
506,102,7,18.34772275,1,102
507,102,12,105.0915774,2,102
508,102,6,125.0759076,3,102
509,102,19,216.6463362,4,102
510,102,23,250.4365786,5,102
511,103,14,112.5483079,1,103
512,103,15,112.5483079,1,103
513,103,16,151.2478999,2,103
514,103,20,199.7298089,3,103
515,103,19,326.3540034,4,103
516,104,14,123.0052654,1,104
517,104,15,123.0052654,1,104
518,104,16,202.5006789,2,104
519,104,19,221.9562578,3,104
520,104,20,292.3277948,4,104
521,105,8,0,1,105
522,105,9,0,1,105
523,105,10,21.64502212,2,105
524,105,13,84.52132576,3,105
525,105,21,152.3344626,4,105
526,106,8,0,1,105
527,106,9,0,1,105
528,106,10,21.64502212,2,105
529,106,13,84.52132576,3,105
530,106,21,152.3344626,4,105
531,107,18,171.6264464,1,106
532,107,31,177.121645,2,106
533,107,32,177.121645,2,106
534,107,27,191.021888,3,106
535,107,22,251.8066998,4,106
536,108,31,119.9295161,1,107
537,108,32,119.9295161,1,107
538,108,27,165.9909053,2,107
539,108,18,186.3732816,3,107
540,108,28,226.8091088,4,107
541,109,10,0,1,108
542,109,13,6.374171901,2,108
